NumberOfSites,Site,SequenceFile,Sequence,StepGroup,StepName,StepId,StepType,SitesTested,LoopIndex,ModuleTime,TotalTime,Status,SocketTime
1,0,,,Main,"MainSequence Callback",ID#:YrKi/zXHdkCNgsobg3W4hA,SequenceCall,,1,0.1615134,0.161584,Failed,0.1681364
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Continuity",ID#:z0CRLMPk7xGp7gCALzaHYA,NI_SemiconductorTest_ContinuityTest,"0",1,0.0523207,0.053391,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Leakage",ID#:O6/6zA7o7xGp7gCALzaHYA,NI_SemiconductorTest_LeakageTest,"0",1,0.0306701,0.0311955,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"DUT Power Up",ID#:4jaocg/o7xGp7gCALzaHYA,NI_SemiconductorTest_DutPowerUp,"0",1,0.001009,0.0016903,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Run_IDD",ID#:mS8bog/o7xGp7gCALzaHYA,NI_SemiconductorTest_ForceVoltageMeasureCurrent,"0",1,0.0214456,0.0218904,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Measure Loop",ID#:Z13iwVrp7xGp7gCALzaHYA,NI_Flow_SweepLoop,,1,0,6.9E-06,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Tx Gain Test",ID#:s8Ek5Mjl7xGp7gCALzaHYA,SpecAnTest,"0",1,0.0040973,0.0047286,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"P1dB Test",ID#:JjiClCjv7xGa+gCALzaHYA,SpecAnTest,"",1,0,1.28E-05,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"ACP Test",ID#:SYWIIhDv7xGa+gCALzaHYA,SpecAnTest,"0",1,0.0032782,0.0037519,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"NoiseFloorCAL",ID#:MzpTTgDv7xGa+gCALzaHYA,WLANTest,"0",1,0.0175027,0.0181253,Done,
