2015 5 25 1:45:28   Duration : 1
2015 6 24 14:44:33   Duration : 30
2015 6 24 14:46:23   Duration : 49
2015 11 3 15:51:3   Duration : 30
2015 11 3 15:51:33   Duration : 30
2015 11 3 15:52:3   Duration : 30
2015 11 3 15:52:33   Duration : 30
2015 11 3 15:53:4   Duration : 30
2015 11 3 15:53:34   Duration : 30
2015 11 3 15:54:4   Duration : 30
2015 11 3 15:54:34   Duration : 30
2015 11 3 15:55:4   Duration : 30
2015 11 3 17:37:49   Duration : 30
2015 11 3 17:38:19   Duration : 30
2015 11 3 17:38:49   Duration : 30
2015 11 3 17:39:19   Duration : 30
2015 11 3 17:39:49   Duration : 30
2015 11 3 17:40:19   Duration : 30
2015 11 3 17:40:49   Duration : 30
2015 11 3 17:41:19   Duration : 30
2015 11 3 17:41:49   Duration : 30
2015 11 3 17:42:19   Duration : 30
2015 11 3 17:42:49   Duration : 30
2015 11 3 17:43:19   Duration : 30
2015 11 3 17:43:50   Duration : 30
2015 11 3 17:44:20   Duration : 30
2015 11 3 17:44:50   Duration : 30
2016 4 22 22:2:9   Duration : 31
2016 4 22 22:2:40   Duration : 30
2016 4 22 22:3:10   Duration : 30
2016 4 22 22:3:40   Duration : 30
2016 4 22 22:4:10   Duration : 30
2016 4 22 22:4:40   Duration : 30
2016 4 22 22:5:10   Duration : 30
2016 4 22 22:5:40   Duration : 30
2016 4 22 22:6:10   Duration : 30
2018 9 9 2:43:5   Duration : 30
2018 9 9 2:43:36   Duration : 30
2018 9 9 2:44:7   Duration : 30
2018 9 9 2:44:38   Duration : 30
2018 9 9 2:45:9   Duration : 30
2018 9 9 2:45:40   Duration : 30
2018 9 9 2:46:12   Duration : 30
2018 9 9 2:46:43   Duration : 30
2018 9 9 2:47:14   Duration : 30
2018 9 9 2:47:46   Duration : 30
2018 9 9 2:48:17   Duration : 30
2019 0 11 11:19:10   Duration : 35
2019 3 26 10:2:5   Duration : 30
2021 0 25 18:31:11   Duration : 30
2021 1 2 12:29:38   Duration : 30
2021 1 2 15:19:53   Duration : 30
2021 1 2 15:20:23   Duration : 30
2021 1 2 15:20:53   Duration : 30
2021 1 2 15:21:42   Duration : 30
2021 1 2 15:22:12   Duration : 30
2021 1 2 15:22:42   Duration : 30
2021 1 2 15:23:12   Duration : 30
2021 1 2 15:23:42   Duration : 30
